daytime urinary incontinence	CUI=C0270328	PREF=daytime urinary incontinence
Urinary incontinence (finding)	CUI=C0042024	PREF=Urinary incontinence (finding)
Urinary incontinence (in 1 of 3 patients)	CUI=C3552722	PREF=Urinary incontinence (in 1 of 3 patients)
Urinary incontinence (in some patients with HSAN2D)	CUI=C4012060	PREF=Urinary incontinence (in some patients with HSAN2D)
Urinary incontinence (in some patients)	CUI=C4230731	PREF=Urinary incontinence (in some patients)
Urinary incontinence (rare)	CUI=C3808649	PREF=Urinary incontinence (rare)
Urinary incontinence (variable)	CUI=C3280712	PREF=Urinary incontinence (variable)
urinary incontinence at least twice a week	CUI=C2188456	PREF=urinary incontinence at least twice a week
urinary incontinence before reaching bathroom	CUI=C2126234	PREF=urinary incontinence before reaching bathroom
urinary incontinence before reaching bathroom (symptom)	CUI=C2126234	PREF=urinary incontinence before reaching bathroom (symptom)
Urinary incontinence care: enuresis	CUI=C0262740	PREF=Urinary incontinence care: enuresis
urinary incontinence characterized	CUI=C2236602	PREF=urinary incontinence characterized
Urinary incontinence due to bladder problem	CUI=C3668875	PREF=Urinary incontinence due to bladder problem
urinary incontinence due to cognitive impairment	CUI=C2368031	PREF=urinary incontinence due to cognitive impairment
urinary incontinence due to cognitive impairment (diagnosis)	CUI=C2368031	PREF=urinary incontinence due to cognitive impairment (diagnosis)
Urinary incontinence due to cognitive impairment, or severe physical disability or immobility	CUI=C2349678	PREF=Urinary incontinence due to cognitive impairment, or severe physical disability or immobility
urinary incontinence due to immobility	CUI=C2368033	PREF=urinary incontinence due to immobility
urinary incontinence due to immobility (diagnosis)	CUI=C2368033	PREF=urinary incontinence due to immobility (diagnosis)
urinary incontinence due to severe physical disability	CUI=C2368032	PREF=urinary incontinence due to severe physical disability
urinary incontinence due to severe physical disability (diagnosis)	CUI=C2368032	PREF=urinary incontinence due to severe physical disability (diagnosis)
Urinary incontinence due to urethral sphincter incompetence	CUI=C0403666	PREF=Urinary incontinence due to urethral sphincter incompetence
urinary incontinence gradual onset	CUI=C3645888	PREF=urinary incontinence gradual onset
urinary incontinence gradual onset (symptom)	CUI=C3645888	PREF=urinary incontinence gradual onset (symptom)
urinary incontinence occurring at least twice a week	CUI=C2188456	PREF=urinary incontinence occurring at least twice a week
urinary incontinence occurring at least twice a week (symptom)	CUI=C2188456	PREF=urinary incontinence occurring at least twice a week (symptom)
Urinary incontinence of non-organic origin	CUI=C0403670	PREF=Urinary incontinence of non-organic origin
Urinary incontinence of non-organic origin (finding)	CUI=C0403670	PREF=Urinary incontinence of non-organic origin (finding)
Urinary incontinence of nonorganic origin	CUI=C0403670	PREF=Urinary incontinence of nonorganic origin
urinary incontinence on exam	CUI=C2188450	PREF=urinary incontinence on exam
Urinary incontinence or urinary catheter present	CUI=C1830535	PREF=Urinary incontinence or urinary catheter present
urinary incontinence postural	CUI=C0403669	PREF=urinary incontinence postural
urinary incontinence preceded by a sudden urge	CUI=C2126233	PREF=urinary incontinence preceded by a sudden urge
urinary incontinence preceded by sudden urge	CUI=C2126233	PREF=urinary incontinence preceded by sudden urge
urinary incontinence preceded by sudden urge (symptom)	CUI=C2126233	PREF=urinary incontinence preceded by sudden urge (symptom)
urinary incontinence presence or absence assessed	CUI=C1964101	PREF=urinary incontinence presence or absence assessed
urinary incontinence presence or absence assessed (treatment)	CUI=C1964101	PREF=urinary incontinence presence or absence assessed (treatment)
urinary incontinence volume	CUI=C3645887	PREF=urinary incontinence volume
urinary incontinence volume (symptom)	CUI=C3645887	PREF=urinary incontinence volume (symptom)
urinary incontinence volume large	CUI=C3645886	PREF=urinary incontinence volume large
urinary incontinence volume large (symptom)	CUI=C3645886	PREF=urinary incontinence volume large (symptom)
urinary incontinence volume small	CUI=C3645885	PREF=urinary incontinence volume small
urinary incontinence volume small (symptom)	CUI=C3645885	PREF=urinary incontinence volume small (symptom)
urinary incontinence volume unable to be determined	CUI=C3645884	PREF=urinary incontinence volume unable to be determined
urinary incontinence volume unable to be determined (symptom)	CUI=C3645884	PREF=urinary incontinence volume unable to be determined (symptom)
urinary incontinence while supine on exam	CUI=C2188452	PREF=urinary incontinence while supine on exam
urinary incontinence with anatomical correction	CUI=C2188453	PREF=urinary incontinence with anatomical correction
urinary incontinence with continuous leakage	CUI=C0150044	PREF=urinary incontinence with continuous leakage
urinary incontinence with continuous leakage (symptom)	CUI=C0150044	PREF=urinary incontinence with continuous leakage (symptom)
urinary incontinence without sensory awareness	CUI=C2127284	PREF=urinary incontinence without sensory awareness
urinary incontinence without sensory awareness (symptom)	CUI=C2127284	PREF=urinary incontinence without sensory awareness (symptom)
urinary incontinence without sensory awareness of fullness	CUI=C2188457	PREF=urinary incontinence without sensory awareness of fullness
urinary incontinence without sensory awareness of fullness (symptom)	CUI=C2188457	PREF=urinary incontinence without sensory awareness of fullness (symptom)
urinary incontinence without sensory awareness of wetness	CUI=C2188458	PREF=urinary incontinence without sensory awareness of wetness
urinary incontinence without sensory awareness of wetness (symptom)	CUI=C2188458	PREF=urinary incontinence without sensory awareness of wetness (symptom)
When urinary incontinence occurs	CUI=C1830599	PREF=When urinary incontinence occurs
