STR	CUI=CUI	PREF=STR
Active upper limb movements	CUI=C0454461	PREF=Active upper limb movements
Active wrist movements	CUI=C0454465	PREF=Active wrist movements
Active wrist movements (observable entity)	CUI=C0454465	PREF=Active wrist movements (observable entity)
Active wrist movements (qualifier value)	CUI=C0454465	PREF=Active wrist movements (qualifier value)
Active wrist movements, function (observable entity)	CUI=C0454465	PREF=Active wrist movements, function (observable entity)
ankle catches during movement	CUI=C2127602	PREF=ankle catches during movement
ankle catches during movement (symptom)	CUI=C2127602	PREF=ankle catches during movement (symptom)
Ankle joint - painful on movement	CUI=C0576209	PREF=Ankle joint - painful on movement
Ankle joint - painful on movement (finding)	CUI=C0576209	PREF=Ankle joint - painful on movement (finding)
Ankle joint - range of movement - finding	CUI=C1288131	PREF=Ankle joint - range of movement - finding
Ankle joint - range of movement (observable entity)	CUI=C0576183	PREF=Ankle joint - range of movement (observable entity)
ankle joint pain feels better after normal movement	CUI=C2108795	PREF=ankle joint pain feels better after normal movement
ankle joint pain with passive movement	CUI=C2126211	PREF=ankle joint pain with passive movement
ankle joint stiffness improves after normal movement	CUI=C2109031	PREF=ankle joint stiffness improves after normal movement
ankle pain elicited by motion at initiation of movement	CUI=C2088498	PREF=ankle pain elicited by motion at initiation of movement
ankle pain feels better after normal movement	CUI=C2108795	PREF=ankle pain feels better after normal movement
ankle pain with active movement	CUI=C2126210	PREF=ankle pain with active movement
ankle pain worsens with foot movement	CUI=C2108819	PREF=ankle pain worsens with foot movement
ankle pain worsens with foot movement (symptom)	CUI=C2108819	PREF=ankle pain worsens with foot movement (symptom)
ankle stiffness feels better after normal movement	CUI=C2109031	PREF=ankle stiffness feels better after normal movement
bilateral ankle pain elicited by active motion at initiation of movement	CUI=C2177869	PREF=bilateral ankle pain elicited by active motion at initiation of movement
bilateral ankle pain elicited by motion at initiation of movement	CUI=C2196502	PREF=bilateral ankle pain elicited by motion at initiation of movement
bilateral impaired heel-to-shin movement was seen	CUI=C2199255	PREF=bilateral impaired heel-to-shin movement was seen
both ankles catch during movement	CUI=C2127605	PREF=both ankles catch during movement
both ankles catch during movement (symptom)	CUI=C2127605	PREF=both ankles catch during movement (symptom)
both elbows catch during movement	CUI=C2127541	PREF=both elbows catch during movement
both hips catch during movement (symptom)	CUI=C2127634	PREF=both hips catch during movement (symptom)
both knees catch during movement	CUI=C2127580	PREF=both knees catch during movement
both shoulders catch during movement	CUI=C2127662	PREF=both shoulders catch during movement
both shoulders catch during movement (symptom)	CUI=C2127662	PREF=both shoulders catch during movement (symptom)
both wrists catch during movement	CUI=C2127919	PREF=both wrists catch during movement
both wrists catch during movement (symptom)	CUI=C2127919	PREF=both wrists catch during movement (symptom)
Cervical spine - painful on movement (finding)	CUI=C0575253	PREF=Cervical spine - painful on movement (finding)
Cervical spine - range of movement - finding	CUI=C1287900	PREF=Cervical spine - range of movement - finding
Cervical spine - range of movement (observable entity)	CUI=C2044043	PREF=Cervical spine - range of movement (observable entity)
Cervical spine painful on movement	CUI=C0575253	PREF=Cervical spine painful on movement
Cervical spine painful on movement (finding)	CUI=C0575253	PREF=Cervical spine painful on movement (finding)
Control of movement	CUI=C0427083	PREF=Control of movement
Control of movement - finding	CUI=C1286480	PREF=Control of movement - finding
Control of movement (observable entity)	CUI=C0427083	PREF=Control of movement (observable entity)
Decrease range subtal movement	CUI=C0582221	PREF=Decrease range subtal movement
Decreased active movements	CUI=C1853374	PREF=Decreased active movements
Decreased range ankle movement	CUI=C0582213	PREF=Decreased range ankle movement
Decreased range elbow movement	CUI=C0582184	PREF=Decreased range elbow movement
Decreased range fing movement	CUI=C0582195	PREF=Decreased range fing movement
Decreased range foot movement	CUI=C0582217	PREF=Decreased range foot movement
Decreased range foot movement	CUI=C0582217	PREF=Decreased range foot movement
Decreased range hip movement	CUI=C0582203	PREF=Decreased range hip movement
Decreased range knee movement	CUI=C0582208	PREF=Decreased range knee movement
Decreased range of ankle movement	CUI=C0582213	PREF=Decreased range of ankle movement
Decreased range of ankle movement (finding)	CUI=C0582213	PREF=Decreased range of ankle movement (finding)
Decreased range of cervical spine movement (finding)	CUI=C0582229	PREF=Decreased range of cervical spine movement (finding)
Decreased range of elbow movement	CUI=C0582184	PREF=Decreased range of elbow movement
Decreased range of elbow movement (finding)	CUI=C0582184	PREF=Decreased range of elbow movement (finding)
Decreased range of finger movement	CUI=C0582195	PREF=Decreased range of finger movement
Decreased range of finger movement (finding)	CUI=C0582195	PREF=Decreased range of finger movement (finding)
Decreased range of foot movement	CUI=C0582217	PREF=Decreased range of foot movement
Decreased range of foot movement	CUI=C0582217	PREF=Decreased range of foot movement
Decreased range of foot movement (finding)	CUI=C0582217	PREF=Decreased range of foot movement (finding)
Decreased range of foot movement (finding)	CUI=C0582217	PREF=Decreased range of foot movement (finding)
Decreased range of hip movement	CUI=C0582203	PREF=Decreased range of hip movement
Decreased range of hip movement (finding)	CUI=C0582203	PREF=Decreased range of hip movement (finding)
Decreased range of knee movement	CUI=C0582208	PREF=Decreased range of knee movement
Decreased range of knee movement (finding)	CUI=C0582208	PREF=Decreased range of knee movement (finding)
Decreased range of lumbar spine movement	CUI=C0582237	PREF=Decreased range of lumbar spine movement
Decreased range of lumbar spine movement (finding)	CUI=C0582237	PREF=Decreased range of lumbar spine movement (finding)
Decreased range of movement of elbows	CUI=C0582184	PREF=Decreased range of movement of elbows
Decreased range of movement of knees	CUI=C0582208	PREF=Decreased range of movement of knees
Decreased range of movement of proximal interphalangeal joints	CUI=C3550895	PREF=Decreased range of movement of proximal interphalangeal joints
Decreased range of shoulder movement	CUI=C0582180	PREF=Decreased range of shoulder movement
Decreased range of shoulder movement (finding)	CUI=C0582180	PREF=Decreased range of shoulder movement (finding)
Decreased range of subtalar movement	CUI=C0582221	PREF=Decreased range of subtalar movement
Decreased range of subtalar movement (finding)	CUI=C0582221	PREF=Decreased range of subtalar movement (finding)
Decreased range of thoracic spine movement	CUI=C0582233	PREF=Decreased range of thoracic spine movement
Decreased range of thoracic spine movement (finding)	CUI=C0582233	PREF=Decreased range of thoracic spine movement (finding)
Decreased range of thumb movement	CUI=C0582199	PREF=Decreased range of thumb movement
Decreased range of thumb movement (finding)	CUI=C0582199	PREF=Decreased range of thumb movement (finding)
Decreased range of toe movement	CUI=C0582225	PREF=Decreased range of toe movement
Decreased range of toe movement (finding)	CUI=C0582225	PREF=Decreased range of toe movement (finding)
Decreased range of wrist movement	CUI=C0582188	PREF=Decreased range of wrist movement
Decreased range of wrist movement (finding)	CUI=C0582188	PREF=Decreased range of wrist movement (finding)
Decreased range thumb movement	CUI=C0582199	PREF=Decreased range thumb movement
Decreased range toe movement	CUI=C0582225	PREF=Decreased range toe movement
Decreased range wrist movement	CUI=C0582188	PREF=Decreased range wrist movement
Defects in fine motor skills	CUI=C3810002	PREF=Defects in fine motor skills
Difficulties in fine movement of the hands	CUI=C3554395	PREF=Difficulties in fine movement of the hands
Difficulties with fine motor skills and coordination	CUI=C4015243	PREF=Difficulties with fine motor skills and coordination
Difficulty imitating tongue movements (finding)	CUI=C0578733	PREF=Difficulty imitating tongue movements (finding)
Difficulty in initiating movement	CUI=C0562455	PREF=Difficulty in initiating movement
Difficulty in initiating movement (finding)	CUI=C0562455	PREF=Difficulty in initiating movement (finding)
Difficulty in tongue movements	CUI=C1853406	PREF=Difficulty in tongue movements
Difficulty initiating movement	CUI=C0562455	PREF=Difficulty initiating movement
Difficulty making movements for speech (finding)	CUI=C0564066	PREF=Difficulty making movements for speech (finding)
Difficulty performing oral motor functions	CUI=C0563327	PREF=Difficulty performing oral motor functions
Difficulty performing oral motor functions (finding)	CUI=C0563327	PREF=Difficulty performing oral motor functions (finding)
Dyskinetic movements	CUI=C2678069	PREF=Dyskinetic movements
Dystonic movements	CUI=C0013421	PREF=Dystonic movements
Efferent motor aphasia	CUI=C0454579	PREF=Efferent motor aphasia
Efferent motor dysphasia	CUI=C0454579	PREF=Efferent motor dysphasia
elbow catches during movement	CUI=C2127538	PREF=elbow catches during movement
elbow catches during movement (symptom)	CUI=C2127538	PREF=elbow catches during movement (symptom)
Elbow joint - painful on movement (finding)	CUI=C0575699	PREF=Elbow joint - painful on movement (finding)
Elbow joint - range of movement - finding	CUI=C1288023	PREF=Elbow joint - range of movement - finding
Elbow joint - range of movement (observable entity)	CUI=C0575649	PREF=Elbow joint - range of movement (observable entity)
elbow pain was elicited at the initiation of movement	CUI=C2088479	PREF=elbow pain was elicited at the initiation of movement
Extrapyramidal movements	CUI=C1273968	PREF=Extrapyramidal movements
Extrapyramidal movements (finding)	CUI=C1273968	PREF=Extrapyramidal movements (finding)
Extrapyramidal movements (later onset)	CUI=C4314467	PREF=Extrapyramidal movements (later onset)
Eye movement	CUI=C0015413	PREF=Eye movement
Eye movement - finding	CUI=C1287611	PREF=Eye movement - finding
Eye movement disorder	CUI=C0028850	PREF=Eye movement disorder
Fine motor disability	CUI=C0556292	PREF=Fine motor disability
Fine motor functions	CUI=C0562229	PREF=Fine motor functions
Fine motor functions (observable entity)	CUI=C0562229	PREF=Fine motor functions (observable entity)
Fine motor impairment	CUI=C0556281	PREF=Fine motor impairment
Fine motor impairment, mild	CUI=C4315644	PREF=Fine motor impairment, mild
fine motor skills	CUI=C0678857	PREF=fine motor skills
Finger joint - range of movement - finding	CUI=C1288190	PREF=Finger joint - range of movement - finding
Finger joint - range of movement (observable entity)	CUI=C0575830	PREF=Finger joint - range of movement (observable entity)
Finger joint painful on movement (finding)	CUI=C0575880	PREF=Finger joint painful on movement (finding)
fingers 'catch' during movement	CUI=C2127754	PREF=fingers 'catch' during movement
fingers of both hands 'catch' during movement	CUI=C2127767	PREF=fingers of both hands 'catch' during movement
fingers of left hand 'catch' during movement	CUI=C2127761	PREF=fingers of left hand 'catch' during movement
fingers of left hand 'catch' during movement (symptom)	CUI=C2127761	PREF=fingers of left hand 'catch' during movement (symptom)
fingers of right hand 'catch' during movement	CUI=C2127755	PREF=fingers of right hand 'catch' during movement
fingers of right hand 'catch' during movement (symptom)	CUI=C2127755	PREF=fingers of right hand 'catch' during movement (symptom)
Flapping movements of arms (finding)	CUI=C0424248	PREF=Flapping movements of arms (finding)
Flapping movements of hands (finding)	CUI=C0424247	PREF=Flapping movements of hands (finding)
Foot joint - painful on movement	CUI=C0576274	PREF=Foot joint - painful on movement
Foot joint - painful on movement (finding)	CUI=C0576274	PREF=Foot joint - painful on movement (finding)
Foot joint - range of movement	CUI=C0576246	PREF=Foot joint - range of movement
Foot joint - range of movement - finding	CUI=C1288144	PREF=Foot joint - range of movement - finding
Foot joint - range of movement (observable entity)	CUI=C0576246	PREF=Foot joint - range of movement (observable entity)
foot pain was elicited at the initiation of movement	CUI=C2088501	PREF=foot pain was elicited at the initiation of movement
Full movement	CUI=C0457168	PREF=Full movement
Good control of movement	CUI=C0455917	PREF=Good control of movement
Good control of movement (finding)	CUI=C0455917	PREF=Good control of movement (finding)
Gross motor disability	CUI=C0556290	PREF=Gross motor disability
Gross motor function deficits	CUI=C4479271	PREF=Gross motor function deficits
Gross motor functions	CUI=C0677549	PREF=Gross motor functions
Gross motor impairment	CUI=C0556280	PREF=Gross motor impairment
gross motor skills	CUI=C0678858	PREF=gross motor skills
Gross movement of body and limbs - finding	CUI=C1286403	PREF=Gross movement of body and limbs - finding
Gross movement of body and limbs (observable entity)	CUI=C0427001	PREF=Gross movement of body and limbs (observable entity)
Gross movement of limb	CUI=C1285622	PREF=Gross movement of limb
Gross movement of limb (observable entity)	CUI=C1285622	PREF=Gross movement of limb (observable entity)
Hand movements - left	CUI=C3176201	PREF=Hand movements - left
Hand movements - right	CUI=C3176178	PREF=Hand movements - right
hand pain was elicited by motion at the initiation of movement	CUI=C2028532	PREF=hand pain was elicited by motion at the initiation of movement
Head movements abnormal (finding)	CUI=C0476217	PREF=Head movements abnormal (finding)
hip catches during movement	CUI=C2030985	PREF=hip catches during movement
hip catches during movement (symptom)	CUI=C2030985	PREF=hip catches during movement (symptom)
Hip joint - range of movement - finding	CUI=C1288078	PREF=Hip joint - range of movement - finding
Hip joint - range of movement (observable entity)	CUI=C0576002	PREF=Hip joint - range of movement (observable entity)
hip joint pain feels better after normal movement	CUI=C2108676	PREF=hip joint pain feels better after normal movement
hip joint pain feels better after normal movement (symptom)	CUI=C2108676	PREF=hip joint pain feels better after normal movement (symptom)
Hip joint painful on movement (finding)	CUI=C0576071	PREF=Hip joint painful on movement (finding)
hip joint stiffness feels better after normal movement	CUI=C2109036	PREF=hip joint stiffness feels better after normal movement
hip pain was elicited at the initiation of movement	CUI=C2031134	PREF=hip pain was elicited at the initiation of movement
hip pain was elicited by active abduction at the initiation of movement	CUI=C2031101	PREF=hip pain was elicited by active abduction at the initiation of movement
hip pain was elicited by active adduction at the initiation of movement	CUI=C2031104	PREF=hip pain was elicited by active adduction at the initiation of movement
hip pain was elicited by active external rotation at the initiation of movement with the hip extended	CUI=C2016418	PREF=hip pain was elicited by active external rotation at the initiation of movement with the hip extended
hip pain was elicited by active flexion at the initiation of movement	CUI=C2031110	PREF=hip pain was elicited by active flexion at the initiation of movement
hip pain was elicited by active internal rotation at the initiation of movement with the hip extended	CUI=C2016432	PREF=hip pain was elicited by active internal rotation at the initiation of movement with the hip extended
hip pain was elicited by passive abduction at the initiation of movement	CUI=C2031160	PREF=hip pain was elicited by passive abduction at the initiation of movement
hip pain was elicited by passive external rotation at the initiation of movement with the hip extended	CUI=C2032620	PREF=hip pain was elicited by passive external rotation at the initiation of movement with the hip extended
hip pain was elicited by passive external rotation at the initiation of movement with the hip flexed	CUI=C2032623	PREF=hip pain was elicited by passive external rotation at the initiation of movement with the hip flexed
Imitates tongue movements	CUI=C0578731	PREF=Imitates tongue movements
Imitation of oral motor function	CUI=C0589187	PREF=Imitation of oral motor function
Imitation oral motor function	CUI=C0589187	PREF=Imitation oral motor function
Impaired fine motor skills	CUI=C3275368	PREF=Impaired fine motor skills
impaired finger-to-nose movement	CUI=C2199253	PREF=impaired finger-to-nose movement
impaired finger-to-nose movement (physical finding)	CUI=C2199253	PREF=impaired finger-to-nose movement (physical finding)
impaired finger-to-nose movement on left only	CUI=C2199247	PREF=impaired finger-to-nose movement on left only
impaired finger-to-nose movement on left only (physical finding)	CUI=C2199247	PREF=impaired finger-to-nose movement on left only (physical finding)
impaired finger-to-nose movement on right only	CUI=C2199248	PREF=impaired finger-to-nose movement on right only
impaired finger-to-nose movement on right only (physical finding)	CUI=C2199248	PREF=impaired finger-to-nose movement on right only (physical finding)
impaired finger-to-nose movement was seen	CUI=C2199253	PREF=impaired finger-to-nose movement was seen
impaired finger-to-nose movement was seen only on the left	CUI=C2199247	PREF=impaired finger-to-nose movement was seen only on the left
impaired finger-to-nose movement was seen only on the right	CUI=C2199248	PREF=impaired finger-to-nose movement was seen only on the right
impaired heel-shin movement using right heel	CUI=C2199249	PREF=impaired heel-shin movement using right heel
impaired heel-shin movement using right heel (physical finding)	CUI=C2199249	PREF=impaired heel-shin movement using right heel (physical finding)
impaired heel-to-shin movement	CUI=C2199254	PREF=impaired heel-to-shin movement
impaired heel-to-shin movement (physical finding)	CUI=C2199254	PREF=impaired heel-to-shin movement (physical finding)
impaired heel-to-shin movement bilaterally	CUI=C2199255	PREF=impaired heel-to-shin movement bilaterally
impaired heel-to-shin movement bilaterally (physical finding)	CUI=C2199255	PREF=impaired heel-to-shin movement bilaterally (physical finding)
impaired heel-to-shin movement using left heel	CUI=C2199250	PREF=impaired heel-to-shin movement using left heel
impaired heel-to-shin movement using left heel (physical finding)	CUI=C2199250	PREF=impaired heel-to-shin movement using left heel (physical finding)
impaired heel-to-shin movement was seen	CUI=C2199254	PREF=impaired heel-to-shin movement was seen
impaired heel-to-shin movement was seen using the left heel	CUI=C2199250	PREF=impaired heel-to-shin movement was seen using the left heel
Impaired ocular movements	CUI=C3808837	PREF=Impaired ocular movements
Involuntary movement	CUI=C0427086	PREF=Involuntary movement
Involuntary movement (finding)	CUI=C0427086	PREF=Involuntary movement (finding)
knee catches during movement	CUI=C2109427	PREF=knee catches during movement
knee catches during movement (symptom)	CUI=C2109427	PREF=knee catches during movement (symptom)
Knee joint - painful on movement	CUI=C0576139	PREF=Knee joint - painful on movement
Knee joint - painful on movement (finding)	CUI=C0576139	PREF=Knee joint - painful on movement (finding)
Knee joint - range of movement	CUI=C0576094	PREF=Knee joint - range of movement
Knee joint - range of movement - finding	CUI=C1288104	PREF=Knee joint - range of movement - finding
Knee joint - range of movement (observable entity)	CUI=C0576094	PREF=Knee joint - range of movement (observable entity)
knee joint pain with active movement	CUI=C2110491	PREF=knee joint pain with active movement
knee joint pain with passive movement	CUI=C2110492	PREF=knee joint pain with passive movement
knee joint pain with passive movement (symptom)	CUI=C2110492	PREF=knee joint pain with passive movement (symptom)
Knee joint painful on movement	CUI=C0576139	PREF=Knee joint painful on movement
Knee joint painful on movement (finding)	CUI=C0576139	PREF=Knee joint painful on movement (finding)
Knee joint-painful movement	CUI=C0576139	PREF=Knee joint-painful movement
knee pain with active movement	CUI=C2110491	PREF=knee pain with active movement
knee pain with active movement (symptom)	CUI=C2110491	PREF=knee pain with active movement (symptom)
Lack of control of movement	CUI=C0427084	PREF=Lack of control of movement
Lack of purposeful movement	CUI=C4540359	PREF=Lack of purposeful movement
Lack of spontaneous movement	CUI=C0424232	PREF=Lack of spontaneous movement
Lack of spontaneous movements	CUI=C0424232	PREF=Lack of spontaneous movements
Lack of volitional movement	CUI=C3281031	PREF=Lack of volitional movement
left ankle catches during movement	CUI=C2127604	PREF=left ankle catches during movement
left ankle catches during movement (symptom)	CUI=C2127604	PREF=left ankle catches during movement (symptom)
left elbow catches during movement	CUI=C2127540	PREF=left elbow catches during movement
left elbow catches during movement (symptom)	CUI=C2127540	PREF=left elbow catches during movement (symptom)
left fourth toe 'catches' during movement	CUI=C2128004	PREF=left fourth toe 'catches' during movement
left great toe 'catches' during movement	CUI=C2128001	PREF=left great toe 'catches' during movement
left great toe 'catches' during movement (symptom)	CUI=C2128001	PREF=left great toe 'catches' during movement (symptom)
left hip catches during movement	CUI=C2127633	PREF=left hip catches during movement
left index finger 'catches' during movement	CUI=C2127763	PREF=left index finger 'catches' during movement
left index finger 'catches' during movement (symptom)	CUI=C2127763	PREF=left index finger 'catches' during movement (symptom)
left inner edge shoulder blade pain improves with movement	CUI=C2127691	PREF=left inner edge shoulder blade pain improves with movement
left inner edge shoulder blade pain unchanged with movement	CUI=C2127690	PREF=left inner edge shoulder blade pain unchanged with movement
left inner edge shoulder blade pain worse with movement	CUI=C2127689	PREF=left inner edge shoulder blade pain worse with movement
left knee catches during movement	CUI=C2127579	PREF=left knee catches during movement
left knee catches during movement (symptom)	CUI=C2127579	PREF=left knee catches during movement (symptom)
left little finger 'catches' during movement	CUI=C2127766	PREF=left little finger 'catches' during movement
left little finger 'catches' during movement (symptom)	CUI=C2127766	PREF=left little finger 'catches' during movement (symptom)
left little toe 'catches' during movement	CUI=C2128005	PREF=left little toe 'catches' during movement
left little toe 'catches' during movement (symptom)	CUI=C2128005	PREF=left little toe 'catches' during movement (symptom)
left middle finger 'catches' during movement	CUI=C2127764	PREF=left middle finger 'catches' during movement
left middle finger 'catches' during movement (symptom)	CUI=C2127764	PREF=left middle finger 'catches' during movement (symptom)
left middle toe 'catches' during movement	CUI=C2128003	PREF=left middle toe 'catches' during movement
left middle toe 'catches' during movement (symptom)	CUI=C2128003	PREF=left middle toe 'catches' during movement (symptom)
left ring finger 'catches' during movement	CUI=C2127765	PREF=left ring finger 'catches' during movement
left second toe 'catches' during movement	CUI=C2128002	PREF=left second toe 'catches' during movement
left shoulder catches during movement	CUI=C2127661	PREF=left shoulder catches during movement
left shoulder catches during movement (symptom)	CUI=C2127661	PREF=left shoulder catches during movement (symptom)
left thumb 'catches' during movement	CUI=C2127762	PREF=left thumb 'catches' during movement
left thumb 'catches' during movement (symptom)	CUI=C2127762	PREF=left thumb 'catches' during movement (symptom)
left upper back pain along inner edge of scapula improves with movement	CUI=C2127691	PREF=left upper back pain along inner edge of scapula improves with movement
left upper back pain along inner edge of scapula unchanged with movement	CUI=C2127690	PREF=left upper back pain along inner edge of scapula unchanged with movement
left wrist catches during movement	CUI=C2127918	PREF=left wrist catches during movement
left wrist catches during movement (symptom)	CUI=C2127918	PREF=left wrist catches during movement (symptom)
Lightning eye movement (finding)	CUI=C0234652	PREF=Lightning eye movement (finding)
Limb movement absent	CUI=C0555086	PREF=Limb movement absent
Limb movement not present	CUI=C0555086	PREF=Limb movement not present
Limitation of carpal and interphalangeal joint movement, progressive	CUI=C4539289	PREF=Limitation of carpal and interphalangeal joint movement, progressive
Limitation of joint movement (finding)	CUI=C0231589	PREF=Limitation of joint movement (finding)
Limited hip movement	CUI=C1851542	PREF=Limited hip movement
Limited movement at elbows	CUI=C4540512	PREF=Limited movement at elbows
Limited movement at wrists	CUI=C4540513	PREF=Limited movement at wrists
Limited movements of the knee joints	CUI=C4229608	PREF=Limited movements of the knee joints
Limited wrist movement	CUI=C1840088	PREF=Limited wrist movement
Loss of control of movement	CUI=C0427084	PREF=Loss of control of movement
Loss of control of movement (finding)	CUI=C0427084	PREF=Loss of control of movement (finding)
Loss of fine motor skills	CUI=C1868513	PREF=Loss of fine motor skills
Loss of motor functions	CUI=C1864672	PREF=Loss of motor functions
Loss of motor skills	CUI=C4014590	PREF=Loss of motor skills
Loss of movement in the elbows (in some patients)	CUI=C4538503	PREF=Loss of movement in the elbows (in some patients)
Loss of movement in the knees (uncommon)	CUI=C4538505	PREF=Loss of movement in the knees (uncommon)
Loss of purposeful hand movements	CUI=C2678185	PREF=Loss of purposeful hand movements
Loss of spontaneous movement	CUI=C2673268	PREF=Loss of spontaneous movement
Loss of spontaneous movements	CUI=C2673268	PREF=Loss of spontaneous movements
lower back pain in midline improves with movement	CUI=C2129458	PREF=lower back pain in midline improves with movement
lower back pain in midline improves with movement (symptom)	CUI=C2129458	PREF=lower back pain in midline improves with movement (symptom)
lower back pain in midline unchanged with movement	CUI=C2129457	PREF=lower back pain in midline unchanged with movement
lower back pain in midline unchanged with movement (symptom)	CUI=C2129457	PREF=lower back pain in midline unchanged with movement (symptom)
lower back pain midline worse with movement	CUI=C2129456	PREF=lower back pain midline worse with movement
Lumbar spine - painful on movement	CUI=C0575448	PREF=Lumbar spine - painful on movement
Lumbar spine - painful on movement (finding)	CUI=C0575448	PREF=Lumbar spine - painful on movement (finding)
Lumbar spine - range of movement	CUI=C0575375	PREF=Lumbar spine - range of movement
Lumbar spine - range of movement - finding	CUI=C1287946	PREF=Lumbar spine - range of movement - finding
Lumbar spine - range of movement (observable entity)	CUI=C0575375	PREF=Lumbar spine - range of movement (observable entity)
Lumbar spine painful on movement	CUI=C0575448	PREF=Lumbar spine painful on movement
Lumbar spine painful on movement (finding)	CUI=C0575448	PREF=Lumbar spine painful on movement (finding)
lumbar spine painful on movement (symptom)	CUI=C0575448	PREF=lumbar spine painful on movement (symptom)
Lumbar spine-range movement	CUI=C0575375	PREF=Lumbar spine-range movement
midback pain in midline improves with movement	CUI=C2129452	PREF=midback pain in midline improves with movement
midback pain in midline improves with movement (symptom)	CUI=C2129452	PREF=midback pain in midline improves with movement (symptom)
midback pain in midline unchanged with movement	CUI=C2129451	PREF=midback pain in midline unchanged with movement
midback pain in midline unchanged with movement (symptom)	CUI=C2129451	PREF=midback pain in midline unchanged with movement (symptom)
midback pain in midline worse with movement	CUI=C2129450	PREF=midback pain in midline worse with movement
midback pain in midline worse with movement (symptom)	CUI=C2129450	PREF=midback pain in midline worse with movement (symptom)
