(Swallowing symptoms) or (dysphagia)	CUI=C1542154	PREF=(Swallowing symptoms) or (dysphagia)
cough occurs when swallowing liquids (symptom)	CUI=C2138219	PREF=cough occurs when swallowing liquids (symptom)
Cough when swallowing	CUI=C0425509	PREF=Cough when swallowing
Cough when swallowing (finding)	CUI=C0425509	PREF=Cough when swallowing (finding)
Coughing or choking during meals or when swallowing medications	CUI=C3845142	PREF=Coughing or choking during meals or when swallowing medications
Coughing with swallowing	CUI=C1822007	PREF=Coughing with swallowing
Coughs when swallowing	CUI=C0425509	PREF=Coughs when swallowing
Deglutition Disorders	CUI=C0011168	PREF=Deglutition Disorders
Difficulties swallowing	CUI=C0011168	PREF=Difficulties swallowing
Difficulty chewing and swallowing	CUI=C2749723	PREF=Difficulty chewing and swallowing
Difficulty in swallowing NOS	CUI=C0011168	PREF=Difficulty in swallowing NOS
Difficulty initiating swallowing reflex	CUI=C0566384	PREF=Difficulty initiating swallowing reflex
Difficulty initiating swallowing reflex (finding)	CUI=C0566384	PREF=Difficulty initiating swallowing reflex (finding)
Difficulty projecting bolus of food into pharynx	CUI=C0566348	PREF=Difficulty projecting bolus of food into pharynx
Difficulty projecting bolus of food into pharynx (finding)	CUI=C0566348	PREF=Difficulty projecting bolus of food into pharynx (finding)
Difficulty swallow soft foods	CUI=C0584635	PREF=Difficulty swallow soft foods
Difficulty swallowing	CUI=C0011168	PREF=Difficulty swallowing
difficulty swallowing (dysphagia)	CUI=C0011168	PREF=difficulty swallowing (dysphagia)
Difficulty swallowing (finding)	CUI=C0011168	PREF=Difficulty swallowing (finding)
difficulty swallowing (symptom)	CUI=C0011168	PREF=difficulty swallowing (symptom)
difficulty swallowing accompanied by pain	CUI=C2183443	PREF=difficulty swallowing accompanied by pain
difficulty swallowing accompanied by pain (symptom)	CUI=C2183443	PREF=difficulty swallowing accompanied by pain (symptom)
difficulty swallowing comes and goes	CUI=C0267070	PREF=difficulty swallowing comes and goes
difficulty swallowing comes and goes (symptom)	CUI=C0267070	PREF=difficulty swallowing comes and goes (symptom)
difficulty swallowing during oral phase	CUI=C2315800	PREF=difficulty swallowing during oral phase
difficulty swallowing during oral phase (symptom)	CUI=C2315800	PREF=difficulty swallowing during oral phase (symptom)
difficulty swallowing during oropharyngeal phase	CUI=C0267071	PREF=difficulty swallowing during oropharyngeal phase
difficulty swallowing during oropharyngeal phase (symptom)	CUI=C0267071	PREF=difficulty swallowing during oropharyngeal phase (symptom)
difficulty swallowing during pharyngeal phase	CUI=C1955516	PREF=difficulty swallowing during pharyngeal phase
difficulty swallowing during pharyngeal phase (symptom)	CUI=C1955516	PREF=difficulty swallowing during pharyngeal phase (symptom)
difficulty swallowing during pharyngoesophageal phase	CUI=C1955517	PREF=difficulty swallowing during pharyngoesophageal phase
difficulty swallowing during pharyngoesophageal phase (symptom)	CUI=C1955517	PREF=difficulty swallowing during pharyngoesophageal phase (symptom)
Difficulty swallowing fluid	CUI=C0426605	PREF=Difficulty swallowing fluid
Difficulty swallowing fluid (finding)	CUI=C0426605	PREF=Difficulty swallowing fluid (finding)
difficulty swallowing followed by regurgitation	CUI=C2183444	PREF=difficulty swallowing followed by regurgitation
difficulty swallowing followed by regurgitation (symptom)	CUI=C2183444	PREF=difficulty swallowing followed by regurgitation (symptom)
Difficulty swallowing food	CUI=C0566362	PREF=Difficulty swallowing food
Difficulty swallowing food (finding)	CUI=C0566362	PREF=Difficulty swallowing food (finding)
difficulty swallowing getting worse	CUI=C2183445	PREF=difficulty swallowing getting worse
difficulty swallowing getting worse (symptom)	CUI=C2183445	PREF=difficulty swallowing getting worse (symptom)
difficulty swallowing hard dry foods	CUI=C2127300	PREF=difficulty swallowing hard dry foods
difficulty swallowing hard dry foods (symptom)	CUI=C2127300	PREF=difficulty swallowing hard dry foods (symptom)
Difficulty swallowing liquids	CUI=C0426605	PREF=Difficulty swallowing liquids
difficulty swallowing liquids more than solids	CUI=C2183446	PREF=difficulty swallowing liquids more than solids
difficulty swallowing liquids more than solids (symptom)	CUI=C2183446	PREF=difficulty swallowing liquids more than solids (symptom)
difficulty swallowing medium texture foods	CUI=C2127302	PREF=difficulty swallowing medium texture foods
difficulty swallowing medium texture foods (symptom)	CUI=C2127302	PREF=difficulty swallowing medium texture foods (symptom)
difficulty swallowing mixed texture foods	CUI=C2127301	PREF=difficulty swallowing mixed texture foods
difficulty swallowing mixed texture foods (symptom)	CUI=C2127301	PREF=difficulty swallowing mixed texture foods (symptom)
difficulty swallowing mixed texture foods (symptom)	CUI=C2127301	PREF=difficulty swallowing mixed texture foods (symptom)
Difficulty swallowing pills	CUI=C4543303	PREF=Difficulty swallowing pills
Difficulty swallowing pills (finding)	CUI=C4543303	PREF=Difficulty swallowing pills (finding)
difficulty swallowing precipitates coughing	CUI=C2127098	PREF=difficulty swallowing precipitates coughing
difficulty swallowing precipitates coughing (symptom)	CUI=C2127098	PREF=difficulty swallowing precipitates coughing (symptom)
Difficulty swallowing saliva	CUI=C0566379	PREF=Difficulty swallowing saliva
difficulty swallowing saliva (symptom)	CUI=C0566379	PREF=difficulty swallowing saliva (symptom)
Difficulty swallowing soft foods	CUI=C0584635	PREF=Difficulty swallowing soft foods
Difficulty swallowing soft foods (finding)	CUI=C0584635	PREF=Difficulty swallowing soft foods (finding)
difficulty swallowing soft foods (symptom)	CUI=C0584635	PREF=difficulty swallowing soft foods (symptom)
Difficulty swallowing solids	CUI=C0426606	PREF=Difficulty swallowing solids
Difficulty swallowing solids (finding)	CUI=C0426606	PREF=Difficulty swallowing solids (finding)
difficulty swallowing solids more than liquids	CUI=C2183447	PREF=difficulty swallowing solids more than liquids
difficulty swallowing solids more than liquids (symptom)	CUI=C2183447	PREF=difficulty swallowing solids more than liquids (symptom)
difficulty swallowing started recently	CUI=C2183448	PREF=difficulty swallowing started recently
difficulty swallowing started recently (symptom)	CUI=C2183448	PREF=difficulty swallowing started recently (symptom)
difficulty swallowing sudden unexplained change	CUI=C3694918	PREF=difficulty swallowing sudden unexplained change
difficulty swallowing sudden unexplained change (symptom)	CUI=C3694918	PREF=difficulty swallowing sudden unexplained change (symptom)
Difficulty swallowing thickened fluid	CUI=C0566373	PREF=Difficulty swallowing thickened fluid
Difficulty swallowing thickened fluid (finding)	CUI=C0566373	PREF=Difficulty swallowing thickened fluid (finding)
difficulty swallowing thin liquids	CUI=C2127299	PREF=difficulty swallowing thin liquids
difficulty swallowing thin liquids (symptom)	CUI=C2127299	PREF=difficulty swallowing thin liquids (symptom)
difficulty swallowing very hot or cold foods	CUI=C2183449	PREF=difficulty swallowing very hot or cold foods
difficulty swallowing very hot or cold foods (symptom)	CUI=C2183449	PREF=difficulty swallowing very hot or cold foods (symptom)
difficulty swallowing with food passing through	CUI=C0566362	PREF=difficulty swallowing with food passing through
difficulty swallowing with food passing through (symptom)	CUI=C0566362	PREF=difficulty swallowing with food passing through (symptom)
difficulty swallowing with food passing through after specified time	CUI=C2129179	PREF=difficulty swallowing with food passing through after specified time
difficulty swallowing with food passing through after specified time (symptom)	CUI=C2129179	PREF=difficulty swallowing with food passing through after specified time (symptom)
difficulty swallowing with food sticking	CUI=C0426607	PREF=difficulty swallowing with food sticking
difficulty swallowing with food sticking (symptom)	CUI=C0426607	PREF=difficulty swallowing with food sticking (symptom)
difficulty swallowing with food sticking in lower chest	CUI=C2129178	PREF=difficulty swallowing with food sticking in lower chest
difficulty swallowing with food sticking in middle chest	CUI=C2126011	PREF=difficulty swallowing with food sticking in middle chest
difficulty swallowing with food sticking in middle chest (symptom)	CUI=C2126011	PREF=difficulty swallowing with food sticking in middle chest (symptom)
difficulty swallowing with food sticking in throat	CUI=C2126010	PREF=difficulty swallowing with food sticking in throat
difficulty swallowing with food sticking in throat (symptom)	CUI=C2126010	PREF=difficulty swallowing with food sticking in throat (symptom)
difficulty swallowing with nasal regurgitation	CUI=C2183450	PREF=difficulty swallowing with nasal regurgitation
difficulty swallowing with nasal regurgitation (symptom)	CUI=C2183450	PREF=difficulty swallowing with nasal regurgitation (symptom)
difficulty swallowing with relief only after food regurgitated	CUI=C2129180	PREF=difficulty swallowing with relief only after food regurgitated
difficulty swallowing with relief only after food regurgitated (symptom)	CUI=C2129180	PREF=difficulty swallowing with relief only after food regurgitated (symptom)
difficulty swallowing worse with some types of foods	CUI=C2127303	PREF=difficulty swallowing worse with some types of foods
difficulty swallowing worse with some types of foods (symptom)	CUI=C2127303	PREF=difficulty swallowing worse with some types of foods (symptom)
Dissociative neurological symptom disorder co-occurrent with swallowing symptom	CUI=C4543817	PREF=Dissociative neurological symptom disorder co-occurrent with swallowing symptom
Dissociative neurological symptom disorder co-occurrent with swallowing symptom (disorder)	CUI=C4543817	PREF=Dissociative neurological symptom disorder co-occurrent with swallowing symptom (disorder)
Does initiate swallow reflex	CUI=C0566382	PREF=Does initiate swallow reflex
Does initiate swallowing reflex	CUI=C0566382	PREF=Does initiate swallowing reflex
Does initiate swallowing reflex (finding)	CUI=C0566382	PREF=Does initiate swallowing reflex (finding)
Does not initiate swallowing reflex	CUI=C0566383	PREF=Does not initiate swallowing reflex
Does not project bolus of food into pharynx	CUI=C0566347	PREF=Does not project bolus of food into pharynx
Does not project bolus of food into pharynx (finding)	CUI=C0566347	PREF=Does not project bolus of food into pharynx (finding)
Does not swallow	CUI=C0566357	PREF=Does not swallow
Does not swallow (finding)	CUI=C0566357	PREF=Does not swallow (finding)
Does not swallow fluid	CUI=C0566367	PREF=Does not swallow fluid
Does not swallow fluid (finding)	CUI=C0566367	PREF=Does not swallow fluid (finding)
Does not swallow food	CUI=C0566361	PREF=Does not swallow food
Does not swallow food (finding)	CUI=C0566361	PREF=Does not swallow food (finding)
Does not swallow liquid	CUI=C0566367	PREF=Does not swallow liquid
Does not swallow saliva	CUI=C0566378	PREF=Does not swallow saliva
Does not swallow saliva (finding)	CUI=C0566378	PREF=Does not swallow saliva (finding)
Does not swallow soft foods	CUI=C0584634	PREF=Does not swallow soft foods
Does not swallow soft foods (finding)	CUI=C0584634	PREF=Does not swallow soft foods (finding)
Does not swallow solids	CUI=C0584629	PREF=Does not swallow solids
Does not swallow solids (finding)	CUI=C0584629	PREF=Does not swallow solids (finding)
Does not swallow thick fluid	CUI=C0566372	PREF=Does not swallow thick fluid
Does not swallow thickened fluid	CUI=C0566372	PREF=Does not swallow thickened fluid
Does not swallow thickened fluid (finding)	CUI=C0566372	PREF=Does not swallow thickened fluid (finding)
double swallow for treatment of swallowing dysfunction	CUI=C2146157	PREF=double swallow for treatment of swallowing dysfunction
double swallow for treatment of swallowing dysfunction (treatment)	CUI=C2146157	PREF=double swallow for treatment of swallowing dysfunction (treatment)
Drink comes down nose	CUI=C0426612	PREF=Drink comes down nose
Drink comes down nose (finding)	CUI=C0426612	PREF=Drink comes down nose (finding)
Dysphagia	CUI=C0011168	PREF=Dysphagia
dysphagia (diagnosis)	CUI=C0011168	PREF=dysphagia (diagnosis)
Dysphagia (disorder)	CUI=C0011168	PREF=Dysphagia (disorder)
Dysphagia NOS	CUI=C0011168	PREF=Dysphagia NOS
dysphagia of soft foods	CUI=C0584635	PREF=dysphagia of soft foods
dysphagia with food passing through	CUI=C0566362	PREF=dysphagia with food passing through
dysphagia with soft foods	CUI=C0584635	PREF=dysphagia with soft foods
Dysphagia, NOS	CUI=C0011168	PREF=Dysphagia, NOS
Dysphagia, unspecified	CUI=C0011168	PREF=Dysphagia, unspecified
Ease of swallowing	CUI=C0426604	PREF=Ease of swallowing
Ease of swallowing (observable entity)	CUI=C0426604	PREF=Ease of swallowing (observable entity)
effortful or hard swallow for treatment of swallowing dysfunction	CUI=C2146128	PREF=effortful or hard swallow for treatment of swallowing dysfunction
effortful or hard swallow for treatment of swallowing dysfunction (treatment)	CUI=C2146128	PREF=effortful or hard swallow for treatment of swallowing dysfunction (treatment)
Encounter due to problem with swallowing or mastication	CUI=C0481706	PREF=Encounter due to problem with swallowing or mastication
Food comes down nose	CUI=C0426611	PREF=Food comes down nose
Food comes down nose (finding)	CUI=C0426611	PREF=Food comes down nose (finding)
Food goes down wrong way	CUI=C0149695	PREF=Food goes down wrong way
Food goes down wrong way (finding)	CUI=C0149695	PREF=Food goes down wrong way (finding)
Food sticks on swallowing	CUI=C0426607	PREF=Food sticks on swallowing
Food sticks on swallowing (disorder)	CUI=C0426607	PREF=Food sticks on swallowing (disorder)
Functional swallowing disorder	CUI=C4302242	PREF=Functional swallowing disorder
Have Difficulty Swallowing	CUI=C4084787	PREF=Have Difficulty Swallowing
Have Difficulty Swallowing	CUI=C4084787	PREF=Have Difficulty Swallowing
Impaired swallowing	CUI=C0392678	PREF=Impaired swallowing
inability to swallow	CUI=C4048182	PREF=inability to swallow
inability to swallow (symptom)	CUI=C4048182	PREF=inability to swallow (symptom)
Initiation of swallowing reflex	CUI=C0566587	PREF=Initiation of swallowing reflex
Initiation of swallowing reflex (observable entity)	CUI=C0566587	PREF=Initiation of swallowing reflex (observable entity)
Initiation of swallowing reflex (qualifier value)	CUI=C0566587	PREF=Initiation of swallowing reflex (qualifier value)
lower chest pain on swallowing	CUI=C2129183	PREF=lower chest pain on swallowing
lower chest pain on swallowing (symptom)	CUI=C2129183	PREF=lower chest pain on swallowing (symptom)
Malocclusion due to abnormal swallowing	CUI=C0266934	PREF=Malocclusion due to abnormal swallowing
Malocclusion due to abnormal swallowing (disorder)	CUI=C0266934	PREF=Malocclusion due to abnormal swallowing (disorder)
Malocclusion-abnorm.swallowing	CUI=C0266934	PREF=Malocclusion-abnorm.swallowing
neurology goal to improve swallowing	CUI=C2012280	PREF=neurology goal to improve swallowing
neurology goal to improve swallowing (treatment)	CUI=C2012280	PREF=neurology goal to improve swallowing (treatment)
neurology goals: improve swallowing	CUI=C2012280	PREF=neurology goals: improve swallowing
No problem swallowing	CUI=C0426600	PREF=No problem swallowing
No problem swallowing (context-dependent category)	CUI=C0426600	PREF=No problem swallowing (context-dependent category)
No problem swallowing (finding)	CUI=C0426600	PREF=No problem swallowing (finding)
No problem swallowing (situation)	CUI=C0426600	PREF=No problem swallowing (situation)
Oral Impairment During Swallowing	CUI=C4283941	PREF=Oral Impairment During Swallowing
oral stage bolus uncontrolled piecemeal swallowing	CUI=C2013493	PREF=oral stage bolus uncontrolled piecemeal swallowing
oral stage bolus uncontrolled piecemeal swallowing (procedure)	CUI=C2013493	PREF=oral stage bolus uncontrolled piecemeal swallowing (procedure)
Oral stage of swallowing	CUI=C0232521	PREF=Oral stage of swallowing
Oral swallowing (function)	CUI=C2584339	PREF=Oral swallowing (function)
Pain on swallowing	CUI=C0221150	PREF=Pain on swallowing
pain on swallowing (symptom)	CUI=C0221150	PREF=pain on swallowing (symptom)
Painful swallowing	CUI=C0221150	PREF=Painful swallowing
Pharyngeal stage of swallowing	CUI=C0232522	PREF=Pharyngeal stage of swallowing
Poor swallowing	CUI=C0011168	PREF=Poor swallowing
Poor swallowing	CUI=C0011168	PREF=Poor swallowing
Problem with swallowing or mastication	CUI=C0481706	PREF=Problem with swallowing or mastication
Problems with swallowing	CUI=C0481706	PREF=Problems with swallowing
refusal / inability to swallow (aphagia)	CUI=C4048182	PREF=refusal / inability to swallow (aphagia)
Regurgitates after swallowing	CUI=C0232605	PREF=Regurgitates after swallowing
Regurgitates after swallowing (finding)	CUI=C0232605	PREF=Regurgitates after swallowing (finding)
regurgitating undigested food with rechewing & reswallowing	CUI=C2169930	PREF=regurgitating undigested food with rechewing & reswallowing
regurgitation of undigested food followed by rechewing and reswallowing	CUI=C2169930	PREF=regurgitation of undigested food followed by rechewing and reswallowing
regurgitation of undigested food with rechewing and reswallowing	CUI=C2169930	PREF=regurgitation of undigested food with rechewing and reswallowing
regurgitation of undigested food with rechewing and reswallowing (symptom)	CUI=C2169930	PREF=regurgitation of undigested food with rechewing and reswallowing (symptom)
residue in oral cavity upon swallowing	CUI=C2075099	PREF=residue in oral cavity upon swallowing
Speed of swallowing	CUI=C1285901	PREF=Speed of swallowing
Speed of swallowing (observable entity)	CUI=C1285901	PREF=Speed of swallowing (observable entity)
strategies for treatment of swallowing dysfunction	CUI=C2146161	PREF=strategies for treatment of swallowing dysfunction
strategies for treatment of swallowing dysfunction (treatment)	CUI=C2146161	PREF=strategies for treatment of swallowing dysfunction (treatment)
Structures Involved in Voice, Speech, Swallowing	CUI=C4035680	PREF=Structures Involved in Voice, Speech, Swallowing
super-supraglottic maneuvers for treatment of swallowing dysfunction	CUI=C2146146	PREF=super-supraglottic maneuvers for treatment of swallowing dysfunction
super-supraglottic maneuvers for treatment of swallowing dysfunction (treatment)	CUI=C2146146	PREF=super-supraglottic maneuvers for treatment of swallowing dysfunction (treatment)
Swallowing	CUI=C0011167	PREF=Swallowing
swallowing	CUI=C3665547	PREF=swallowing
Swallowing	CUI=C2598159	PREF=Swallowing
Swallowing	CUI=C4281783	PREF=Swallowing
Swallowing and chewing difficulties	CUI=C2749723	PREF=Swallowing and chewing difficulties
swallowing and oral function results oral preparatory stage	CUI=C2038587	PREF=swallowing and oral function results oral preparatory stage
swallowing and oral function results oral preparatory stage (procedure)	CUI=C2038587	PREF=swallowing and oral function results oral preparatory stage (procedure)
swallowing and oral function results oral transit stage	CUI=C2038588	PREF=swallowing and oral function results oral transit stage
swallowing and oral function results oral transit stage (procedure)	CUI=C2038588	PREF=swallowing and oral function results oral transit stage (procedure)
swallowing and oral function results timing of bolus flow	CUI=C2038589	PREF=swallowing and oral function results timing of bolus flow
swallowing and oral function results timing of bolus flow (procedure)	CUI=C2038589	PREF=swallowing and oral function results timing of bolus flow (procedure)
Swallowing assessment using fluoroscopic guidance	CUI=C0412099	PREF=Swallowing assessment using fluoroscopic guidance
Swallowing defect amelioration	CUI=C0419106	PREF=Swallowing defect amelioration
Swallowing defect amelioration (procedure)	CUI=C0419106	PREF=Swallowing defect amelioration (procedure)
Swallowing difficulties	CUI=C0011168	PREF=Swallowing difficulties
Swallowing difficulties (dysphagia)	CUI=C0011168	PREF=Swallowing difficulties (dysphagia)
Swallowing difficulties (in some patients)	CUI=C3552400	PREF=Swallowing difficulties (in some patients)
Swallowing difficulties (rare)	CUI=C3554216	PREF=Swallowing difficulties (rare)
Swallowing disorder	CUI=C2707308	PREF=Swallowing disorder
Swallowing disorder	CUI=C0011168	PREF=Swallowing disorder
Swallowing disorder [CARE]	CUI=C2598269	PREF=Swallowing disorder [CARE]
Swallowing disorder:-:Point in time:^Patient:-	CUI=C2707308	PREF=Swallowing disorder:-:Point in time:^Patient:-
Swallowing disorder:-:Pt:^Patient:-	CUI=C2707308	PREF=Swallowing disorder:-:Pt:^Patient:-
Swallowing disorder:Find:Pt:^Patient:Ord:CARE	CUI=C2598269	PREF=Swallowing disorder:Find:Pt:^Patient:Ord:CARE
Swallowing disorder:Finding:Point in time:^Patient:Ordinal:CARE	CUI=C2598269	PREF=Swallowing disorder:Finding:Point in time:^Patient:Ordinal:CARE
Swallowing disorder.other specified	CUI=C2598271	PREF=Swallowing disorder.other specified
Swallowing disorder.other specified [CARE]	CUI=C2598270	PREF=Swallowing disorder.other specified [CARE]
Swallowing disturbances	CUI=C3278121	PREF=Swallowing disturbances
Swallowing Dysfunction Treatment	CUI=C2121152	PREF=Swallowing Dysfunction Treatment
Swallowing feature	CUI=C1285900	PREF=Swallowing feature
Swallowing feature (observable entity)	CUI=C1285900	PREF=Swallowing feature (observable entity)
Swallowing finding	CUI=C0432602	PREF=Swallowing finding
Swallowing finding (finding)	CUI=C0432602	PREF=Swallowing finding (finding)
Swallowing function of larynx	CUI=C0234770	PREF=Swallowing function of larynx
Swallowing function of larynx (function)	CUI=C0234770	PREF=Swallowing function of larynx (function)
Swallowing function of larynx (observable entity)	CUI=C0234770	PREF=Swallowing function of larynx (observable entity)
Swallowing function of pharynx and esophagus with cineradiography and video recording	CUI=C0203068	PREF=Swallowing function of pharynx and esophagus with cineradiography and video recording
Swallowing function of pharynx and oesophagus with cineradiography and video recording	CUI=C0203068	PREF=Swallowing function of pharynx and oesophagus with cineradiography and video recording
swallowing function pharyngeal stage transit time	CUI=C2038595	PREF=swallowing function pharyngeal stage transit time
swallowing function pharyngeal stage transit time (procedure)	CUI=C2038595	PREF=swallowing function pharyngeal stage transit time (procedure)
Swallowing G-code	CUI=C4281783	PREF=Swallowing G-code
SWALLOWING IMPAIRED	CUI=C0392678	PREF=SWALLOWING IMPAIRED
Swallowing impairment	CUI=C0392678	PREF=Swallowing impairment
Swallowing impairment [CCC]	CUI=C0943861	PREF=Swallowing impairment [CCC]
Swallowing impairment:Find:Pt:Gastrointestinal system:Ord:Observed.CCC	CUI=C0943861	PREF=Swallowing impairment:Find:Pt:Gastrointestinal system:Ord:Observed.CCC
Swallowing impairment:Finding:Point in time:Gastrointestinal system:Ordinal:Observed.CCC	CUI=C0943861	PREF=Swallowing impairment:Finding:Point in time:Gastrointestinal system:Ordinal:Observed.CCC
Swallowing normal	CUI=C0426600	PREF=Swallowing normal
Swallowing objects	CUI=C0424377	PREF=Swallowing objects
Swallowing objects (finding)	CUI=C0424377	PREF=Swallowing objects (finding)
Swallowing observation	CUI=C0432602	PREF=Swallowing observation
SWALLOWING PAINFUL	CUI=C0221150	PREF=SWALLOWING PAINFUL
Swallowing painful (finding)	CUI=C0221150	PREF=Swallowing painful (finding)
Swallowing pattern	CUI=C0426602	PREF=Swallowing pattern
Swallowing pattern - finding	CUI=C1287781	PREF=Swallowing pattern - finding
Swallowing pattern - finding	CUI=C1287781	PREF=Swallowing pattern - finding
Swallowing pattern - tongue to lip contact	CUI=C0426603	PREF=Swallowing pattern - tongue to lip contact
Swallowing pattern - tongue to lip contact (finding)	CUI=C0426603	PREF=Swallowing pattern - tongue to lip contact (finding)
Swallowing pattern (observable entity)	CUI=C0426602	PREF=Swallowing pattern (observable entity)
Swallowing problem	CUI=C0392678	PREF=Swallowing problem
Swallowing problem (finding)	CUI=C0392678	PREF=Swallowing problem (finding)
Swallowing problem [Minimum Data Set]	CUI=C1716809	PREF=Swallowing problem [Minimum Data Set]
Swallowing problem:Find:Pt:^Patient:Ord:MDS	CUI=C1716809	PREF=Swallowing problem:Find:Pt:^Patient:Ord:MDS
Swallowing problem:Finding:Point in time:^Patient:Ordinal:MDS	CUI=C1716809	PREF=Swallowing problem:Finding:Point in time:^Patient:Ordinal:MDS
Swallowing promotion therapy	CUI=C0589274	PREF=Swallowing promotion therapy
Swallowing promotion therapy (procedure)	CUI=C0589274	PREF=Swallowing promotion therapy (procedure)
Swallowing promotion therapy (regime/therapy)	CUI=C0589274	PREF=Swallowing promotion therapy (regime/therapy)
Swallowing reflex	CUI=C0232524	PREF=Swallowing reflex
Swallowing reflex (observable entity)	CUI=C0232524	PREF=Swallowing reflex (observable entity)
Swallowing reflex absent	CUI=C0576509	PREF=Swallowing reflex absent
Swallowing reflex absent (finding)	CUI=C0576509	PREF=Swallowing reflex absent (finding)
Swallowing reflex equivocal	CUI=C0576510	PREF=Swallowing reflex equivocal
Swallowing reflex equivocal (finding)	CUI=C0576510	PREF=Swallowing reflex equivocal (finding)
Swallowing reflex finding	CUI=C1287725	PREF=Swallowing reflex finding
Swallowing reflex finding (finding)	CUI=C1287725	PREF=Swallowing reflex finding (finding)
Swallowing reflex present	CUI=C0576508	PREF=Swallowing reflex present
Swallowing reflex present (finding)	CUI=C0576508	PREF=Swallowing reflex present (finding)
Swallowing scale	CUI=C4034333	PREF=Swallowing scale
Swallowing status	CUI=C1321019	PREF=Swallowing status
Swallowing status (observable entity)	CUI=C1321019	PREF=Swallowing status (observable entity)
Swallowing status [CMS Assessment]	CUI=C4482658	PREF=Swallowing status [CMS Assessment]
Swallowing status: esophageal phase	CUI=C1321104	PREF=Swallowing status: esophageal phase
Swallowing status: esophageal phase (observable entity)	CUI=C1321104	PREF=Swallowing status: esophageal phase (observable entity)
Swallowing status: oesophageal phase	CUI=C1321104	PREF=Swallowing status: oesophageal phase
Swallowing status: oral phase	CUI=C1321020	PREF=Swallowing status: oral phase
Swallowing status: oral phase (observable entity)	CUI=C1321020	PREF=Swallowing status: oral phase (observable entity)
Swallowing status: pharyngeal phase	CUI=C1321021	PREF=Swallowing status: pharyngeal phase
Swallowing status: pharyngeal phase (observable entity)	CUI=C1321021	PREF=Swallowing status: pharyngeal phase (observable entity)
Swallowing status:Find:Pt:^Patient:Ord:CMS Assessment	CUI=C4482658	PREF=Swallowing status:Find:Pt:^Patient:Ord:CMS Assessment
