Action and postural tremor	CUI=C1866747	PREF=Action and postural tremor
Chronic tremor (finding)	CUI=C2919320	PREF=Chronic tremor (finding)
Coarse tremor	CUI=C0234374	PREF=Coarse tremor
Coarse tremor (finding)	CUI=C0234374	PREF=Coarse tremor (finding)
coarse tremor (physical finding)	CUI=C0234374	PREF=coarse tremor (physical finding)
coarse tremor head	CUI=C2106255	PREF=coarse tremor head
coarse tremor head (physical finding)	CUI=C2106255	PREF=coarse tremor head (physical finding)
coarse tremor of left lower extremity	CUI=C2106257	PREF=coarse tremor of left lower extremity
coarse tremor of left lower extremity (physical finding)	CUI=C2106257	PREF=coarse tremor of left lower extremity (physical finding)
coarse tremor of left upper extremity	CUI=C2106259	PREF=coarse tremor of left upper extremity
coarse tremor of left upper extremity (physical finding)	CUI=C2106259	PREF=coarse tremor of left upper extremity (physical finding)
coarse tremor of right lower extremity	CUI=C2106261	PREF=coarse tremor of right lower extremity
coarse tremor of right lower extremity (physical finding)	CUI=C2106261	PREF=coarse tremor of right lower extremity (physical finding)
coarse tremor of right upper extremity	CUI=C2106263	PREF=coarse tremor of right upper extremity
coarse tremor of right upper extremity (physical finding)	CUI=C2106263	PREF=coarse tremor of right upper extremity (physical finding)
coarse tremor of RLE	CUI=C2106261	PREF=coarse tremor of RLE
Continuous tremor	CUI=C0234371	PREF=Continuous tremor
Continuous tremor (finding)	CUI=C0234371	PREF=Continuous tremor (finding)
Dysphonia of essential tremor	CUI=C0264609	PREF=Dysphonia of essential tremor
Dysphonia of organic tremor	CUI=C0264609	PREF=Dysphonia of organic tremor
Dysphonia of organic tremor (disorder)	CUI=C0264609	PREF=Dysphonia of organic tremor (disorder)
Dystonic head tremor	CUI=C4314815	PREF=Dystonic head tremor
Dystonic tremor	CUI=C1960560	PREF=Dystonic tremor
Dystonic tremor (finding)	CUI=C1960560	PREF=Dystonic tremor (finding)
Dystonic vocal tremor	CUI=C3808156	PREF=Dystonic vocal tremor
Early onset cerebellar ataxia with essential tremor	CUI=C0393523	PREF=Early onset cerebellar ataxia with essential tremor
Early onset cerebellar ataxia with essential tremor (disorder)	CUI=C0393523	PREF=Early onset cerebellar ataxia with essential tremor (disorder)
Early-onset cerebellar ataxia with essential tremor	CUI=C0393523	PREF=Early-onset cerebellar ataxia with essential tremor
Enhanced physiological tremor	CUI=C4511437	PREF=Enhanced physiological tremor
Enhanced physiological tremor (finding)	CUI=C4511437	PREF=Enhanced physiological tremor (finding)
Fine rapid hand tremor, 4-12 Hz	CUI=C1860864	PREF=Fine rapid hand tremor, 4-12 Hz
fine rapid tremor of both hands frequency (___ Hz)	CUI=C2225237	PREF=fine rapid tremor of both hands frequency (___ Hz)
fine rapid tremor of left hand frequency (___ Hz)	CUI=C2225236	PREF=fine rapid tremor of left hand frequency (___ Hz)
fine rapid tremor of right hand frequency (___ Hz)	CUI=C2225235	PREF=fine rapid tremor of right hand frequency (___ Hz)
Fine tremor	CUI=C0234373	PREF=Fine tremor
Fine tremor (finding)	CUI=C0234373	PREF=Fine tremor (finding)
fine, rapid tremor	CUI=C2237390	PREF=fine, rapid tremor
fine, rapid tremor (physical finding)	CUI=C2237390	PREF=fine, rapid tremor (physical finding)
fine, rapid tremor of both hands	CUI=C2196967	PREF=fine, rapid tremor of both hands
fine, rapid tremor of both hands (physical finding)	CUI=C2196967	PREF=fine, rapid tremor of both hands (physical finding)
fine, rapid tremor of left hand	CUI=C2196966	PREF=fine, rapid tremor of left hand
fine, rapid tremor of left hand (physical finding)	CUI=C2196966	PREF=fine, rapid tremor of left hand (physical finding)
fine, rapid tremor of right hand	CUI=C2196965	PREF=fine, rapid tremor of right hand
fine, rapid tremor of right hand (physical finding)	CUI=C2196965	PREF=fine, rapid tremor of right hand (physical finding)
Flapping tremor	CUI=C0232766	PREF=Flapping tremor
Flapping tremor (finding)	CUI=C0232766	PREF=Flapping tremor (finding)
Focal tremor	CUI=C1839131	PREF=Focal tremor
frequency of coarse tremor of head	CUI=C2106256	PREF=frequency of coarse tremor of head
frequency of coarse tremor of head (physical finding)	CUI=C2106256	PREF=frequency of coarse tremor of head (physical finding)
frequency of coarse tremor of left lower extremity	CUI=C2106258	PREF=frequency of coarse tremor of left lower extremity
frequency of coarse tremor of left lower extremity (physical finding)	CUI=C2106258	PREF=frequency of coarse tremor of left lower extremity (physical finding)
frequency of coarse tremor of left upper extremity	CUI=C2106260	PREF=frequency of coarse tremor of left upper extremity
frequency of coarse tremor of left upper extremity (physical finding)	CUI=C2106260	PREF=frequency of coarse tremor of left upper extremity (physical finding)
frequency of coarse tremor of right lower extremity	CUI=C2106262	PREF=frequency of coarse tremor of right lower extremity
frequency of coarse tremor of right lower extremity (physical finding)	CUI=C2106262	PREF=frequency of coarse tremor of right lower extremity (physical finding)
frequency of coarse tremor of right upper extremity	CUI=C2106264	PREF=frequency of coarse tremor of right upper extremity
frequency of coarse tremor of right upper extremity (physical finding)	CUI=C2106264	PREF=frequency of coarse tremor of right upper extremity (physical finding)
frequency of fine rapid tremor of both hands	CUI=C2225237	PREF=frequency of fine rapid tremor of both hands
frequency of fine rapid tremor of both hands (physical finding)	CUI=C2225237	PREF=frequency of fine rapid tremor of both hands (physical finding)
frequency of fine rapid tremor of left hand	CUI=C2225236	PREF=frequency of fine rapid tremor of left hand
frequency of fine rapid tremor of left hand (physical finding)	CUI=C2225236	PREF=frequency of fine rapid tremor of left hand (physical finding)
frequency of fine rapid tremor of right hand	CUI=C2225235	PREF=frequency of fine rapid tremor of right hand
frequency of fine rapid tremor of right hand (physical finding)	CUI=C2225235	PREF=frequency of fine rapid tremor of right hand (physical finding)
frequency of resting tremor in left lower extremity	CUI=C2186980	PREF=frequency of resting tremor in left lower extremity
frequency of resting tremor in left lower extremity (physical finding)	CUI=C2186980	PREF=frequency of resting tremor in left lower extremity (physical finding)
frequency of resting tremor in left upper extremity	CUI=C2186982	PREF=frequency of resting tremor in left upper extremity
frequency of resting tremor in left upper extremity (physical finding)	CUI=C2186982	PREF=frequency of resting tremor in left upper extremity (physical finding)
frequency of resting tremor in right lower extremity	CUI=C2186984	PREF=frequency of resting tremor in right lower extremity
frequency of resting tremor in right lower extremity (physical finding)	CUI=C2186984	PREF=frequency of resting tremor in right lower extremity (physical finding)
frequency of resting tremor in right upper extremity	CUI=C2186986	PREF=frequency of resting tremor in right upper extremity
frequency of resting tremor in right upper extremity (physical finding)	CUI=C2186986	PREF=frequency of resting tremor in right upper extremity (physical finding)
frequency of resting tremor of head	CUI=C2186988	PREF=frequency of resting tremor of head
frequency of resting tremor of head (physical finding)	CUI=C2186988	PREF=frequency of resting tremor of head (physical finding)
Hand tremor	CUI=C0239842	PREF=Hand tremor
Hand tremor (in some patients)	CUI=C3807357	PREF=Hand tremor (in some patients)
Has a tremor	CUI=C0040822	PREF=Has a tremor
Head tremor	CUI=C0239882	PREF=Head tremor
Head tremor (variable)	CUI=C3553930	PREF=Head tremor (variable)
Head tremor, mild	CUI=C1836385	PREF=Head tremor, mild
Intention tremor (1 patient)	CUI=C4013794	PREF=Intention tremor (1 patient)
Intention tremor (finding)	CUI=C0234376	PREF=Intention tremor (finding)
Intention tremor (in some patients)	CUI=C4011504	PREF=Intention tremor (in some patients)
intention tremor (physical finding)	CUI=C0234376	PREF=intention tremor (physical finding)
intention tremor bilaterally	CUI=C2077443	PREF=intention tremor bilaterally
intention tremor bilaterally (physical finding)	CUI=C2077443	PREF=intention tremor bilaterally (physical finding)
Intention tremor in those who survive	CUI=C3279702	PREF=Intention tremor in those who survive
intention tremor of left arm only	CUI=C2077445	PREF=intention tremor of left arm only
intention tremor of left arm only (physical finding)	CUI=C2077445	PREF=intention tremor of left arm only (physical finding)
intention tremor of left leg only	CUI=C2077446	PREF=intention tremor of left leg only
intention tremor of left leg only (physical finding)	CUI=C2077446	PREF=intention tremor of left leg only (physical finding)
intention tremor of right arm only	CUI=C2077448	PREF=intention tremor of right arm only
intention tremor of right arm only (physical finding)	CUI=C2077448	PREF=intention tremor of right arm only (physical finding)
intention tremor of right leg only	CUI=C2077449	PREF=intention tremor of right leg only
intention tremor of right leg only (physical finding)	CUI=C2077449	PREF=intention tremor of right leg only (physical finding)
intention tremor on left only	CUI=C2077444	PREF=intention tremor on left only
intention tremor on left only (physical finding)	CUI=C2077444	PREF=intention tremor on left only (physical finding)
intention tremor on right only	CUI=C2077447	PREF=intention tremor on right only
intention tremor on right only (physical finding)	CUI=C2077447	PREF=intention tremor on right only (physical finding)
Intermittent tremor	CUI=C0234372	PREF=Intermittent tremor
Intermittent tremor (finding)	CUI=C0234372	PREF=Intermittent tremor (finding)
Involuntary rhythmic myoclonic movements ('tremor') of the distal extremities, usually fingers	CUI=C3552818	PREF=Involuntary rhythmic myoclonic movements ('tremor') of the distal extremities, usually fingers
Involuntary rhythmic myoclonic movements ('tremor'), upper extremities	CUI=C3554561	PREF=Involuntary rhythmic myoclonic movements ('tremor'), upper extremities
involuntary shaking or trembling movements (tremor)	CUI=C0040822	PREF=involuntary shaking or trembling movements (tremor)
Isolated facial tremor	CUI=C0393613	PREF=Isolated facial tremor
Isolated facial tremor (finding)	CUI=C0393613	PREF=Isolated facial tremor (finding)
Isolated head tremor	CUI=C0393612	PREF=Isolated head tremor
Isolated head tremor (finding)	CUI=C0393612	PREF=Isolated head tremor (finding)
Isolated vocal tremor	CUI=C0393614	PREF=Isolated vocal tremor
Isolated vocal tremor (finding)	CUI=C0393614	PREF=Isolated vocal tremor (finding)
Kinetic tremor	CUI=C0234376	PREF=Kinetic tremor
Large-amplitude (>2 cm), violent, jerky tremor resulting in difficulty completing the task due to spilling or inability to hold a pen to paper	CUI=C3843179	PREF=Large-amplitude (>2 cm), violent, jerky tremor resulting in difficulty completing the task due to spilling or inability to hold a pen to paper
Laryngeal tremor	CUI=C3808657	PREF=Laryngeal tremor
left sided action tremor	CUI=C2167151	PREF=left sided action tremor
left sided action tremor (physical finding)	CUI=C2167151	PREF=left sided action tremor (physical finding)
Limb tremor	CUI=C0235081	PREF=Limb tremor
Low-amplitude high-frequency kinetic tremor of hands (rare)	CUI=C4227721	PREF=Low-amplitude high-frequency kinetic tremor of hands (rare)
Low-amplitude/barely perceivable tremor or intermittent tremor	CUI=C3843181	PREF=Low-amplitude/barely perceivable tremor or intermittent tremor
Massive tremor	CUI=C0234375	PREF=Massive tremor
Massive tremor (finding)	CUI=C0234375	PREF=Massive tremor (finding)
monologue dysfluency with secondary jaw tremors	CUI=C2227454	PREF=monologue dysfluency with secondary jaw tremors
monologue dysfluency with secondary jaw tremors (physical finding)	CUI=C2227454	PREF=monologue dysfluency with secondary jaw tremors (physical finding)
motor exam involuntary movements tremor trembles	CUI=C0040822	PREF=motor exam involuntary movements tremor trembles
Movements ('tremors') characterized by 8 to 10-Hz discharges	CUI=C3554711	PREF=Movements ('tremors') characterized by 8 to 10-Hz discharges
naming with secondary jaw tremors	CUI=C2227435	PREF=naming with secondary jaw tremors
Nerve Tremors	CUI=C0235083	PREF=Nerve Tremors
No tremor	CUI=C1836697	PREF=No tremor
No visible tremor	CUI=C3843182	PREF=No visible tremor
O/E - coarse tremor	CUI=C0437289	PREF=O/E - coarse tremor
O/E - coarse tremor - flapping	CUI=C0437289	PREF=O/E - coarse tremor - flapping
O/E - fine tremor	CUI=C0437288	PREF=O/E - fine tremor
O/E - fine tremor (finding)	CUI=C0437288	PREF=O/E - fine tremor (finding)
O/E - flapping tremor	CUI=C0437289	PREF=O/E - flapping tremor
O/E - intention tremor	CUI=C0437290	PREF=O/E - intention tremor
O/E - intention tremor (finding)	CUI=C0437290	PREF=O/E - intention tremor (finding)
O/E - tremor - coarse	CUI=C0437289	PREF=O/E - tremor - coarse
O/E - tremor of tongue	CUI=C1562507	PREF=O/E - tremor of tongue
O/E - tremor of tongue (context-dependent category)	CUI=C1562507	PREF=O/E - tremor of tongue (context-dependent category)
O/E - tremor of tongue (finding)	CUI=C1562507	PREF=O/E - tremor of tongue (finding)
O/E - tremor outstretched hands	CUI=C1562357	PREF=O/E - tremor outstretched hands
O/E - tremor outstretched hands (context-dependent category)	CUI=C1562357	PREF=O/E - tremor outstretched hands (context-dependent category)
O/E - tremor outstretched hands (finding)	CUI=C1562357	PREF=O/E - tremor outstretched hands (finding)
O/E - tremor: [coarse flapping] or [coarse] or [flapping]	CUI=C0437289	PREF=O/E - tremor: [coarse flapping] or [coarse] or [flapping]
O/E - tremor: [coarse flapping] or [coarse] or [flapping] (finding)	CUI=C0437289	PREF=O/E - tremor: [coarse flapping] or [coarse] or [flapping] (finding)
On examination - coarse tremor - flapping	CUI=C0437289	PREF=On examination - coarse tremor - flapping
On examination - coarse tremor - flapping (context-dependent category)	CUI=C0437289	PREF=On examination - coarse tremor - flapping (context-dependent category)
On examination - coarse tremor - flapping (finding)	CUI=C0437289	PREF=On examination - coarse tremor - flapping (finding)
On examination - fine tremor	CUI=C0437288	PREF=On examination - fine tremor
On examination - fine tremor (context-dependent category)	CUI=C0437288	PREF=On examination - fine tremor (context-dependent category)
On examination - fine tremor (finding)	CUI=C0437288	PREF=On examination - fine tremor (finding)
On examination - intention tremor	CUI=C0437290	PREF=On examination - intention tremor
On examination - intention tremor (context-dependent category)	CUI=C0437290	PREF=On examination - intention tremor (context-dependent category)
On examination - intention tremor (finding)	CUI=C0437290	PREF=On examination - intention tremor (finding)
On examination - tremor of tongue	CUI=C1562507	PREF=On examination - tremor of tongue
On examination - tremor of tongue (finding)	CUI=C1562507	PREF=On examination - tremor of tongue (finding)
On examination - tremor outstretched hands	CUI=C1562357	PREF=On examination - tremor outstretched hands
On examination - tremor outstretched hands (finding)	CUI=C1562357	PREF=On examination - tremor outstretched hands (finding)
Other specified forms of tremor	CUI=C0477361	PREF=Other specified forms of tremor
Palatal tremor	CUI=C1827012	PREF=Palatal tremor
Passive tremor	CUI=C0234377	PREF=Passive tremor
Passive tremor (finding)	CUI=C0234377	PREF=Passive tremor (finding)
Persistent tremor	CUI=C0234370	PREF=Persistent tremor
Persistent tremor (finding)	CUI=C0234370	PREF=Persistent tremor (finding)
Postural hand tremor	CUI=C1865820	PREF=Postural hand tremor
Postural tremor	CUI=C0234378	PREF=Postural tremor
Postural tremor (later onset, spreads to all limbs and neck)	CUI=C1851926	PREF=Postural tremor (later onset, spreads to all limbs and neck)
Postural tremor UE-L UPDRS	CUI=C3176767	PREF=Postural tremor UE-L UPDRS
Postural tremor UE-R UPDRS	CUI=C3176613	PREF=Postural tremor UE-R UPDRS
Postural tremor Upper extremity - left [UPDRS]	CUI=C3176767	PREF=Postural tremor Upper extremity - left [UPDRS]
Postural tremor Upper extremity - right [UPDRS]	CUI=C3176613	PREF=Postural tremor Upper extremity - right [UPDRS]
Postural tremor, slow, irregular (in some patients)	CUI=C3807664	PREF=Postural tremor, slow, irregular (in some patients)
Postural tremor:Find:Pt:Upper extremity.left:Ord:UPDRS	CUI=C3176767	PREF=Postural tremor:Find:Pt:Upper extremity.left:Ord:UPDRS
Postural tremor:Find:Pt:Upper extremity.right:Ord:UPDRS	CUI=C3176613	PREF=Postural tremor:Find:Pt:Upper extremity.right:Ord:UPDRS
Postural tremor:Finding:Point in time:Upper extremity.left:Ordinal:UPDRS	CUI=C3176767	PREF=Postural tremor:Finding:Point in time:Upper extremity.left:Ordinal:UPDRS
Postural tremor:Finding:Point in time:Upper extremity.right:Ordinal:UPDRS	CUI=C3176613	PREF=Postural tremor:Finding:Point in time:Upper extremity.right:Ordinal:UPDRS
Progressive cerebellar tremor	CUI=C0007761	PREF=Progressive cerebellar tremor
Progressive cerebellar tremor (disorder)	CUI=C0007761	PREF=Progressive cerebellar tremor (disorder)
repetition with secondary jaw tremors	CUI=C2170453	PREF=repetition with secondary jaw tremors
repetition with secondary jaw tremors (physical finding)	CUI=C2170453	PREF=repetition with secondary jaw tremors (physical finding)
Rest tremor	CUI=C0234379	PREF=Rest tremor
Resting tremor	CUI=C0234379	PREF=Resting tremor
Resting tremor (finding)	CUI=C0234379	PREF=Resting tremor (finding)
Resting tremor (in some patients)	CUI=C4012958	PREF=Resting tremor (in some patients)
resting tremor (physical finding)	CUI=C0234379	PREF=resting tremor (physical finding)
resting tremor in left lower extremity	CUI=C2186979	PREF=resting tremor in left lower extremity
resting tremor in left lower extremity (physical finding)	CUI=C2186979	PREF=resting tremor in left lower extremity (physical finding)
resting tremor in left upper extremity	CUI=C2186981	PREF=resting tremor in left upper extremity
resting tremor in left upper extremity (physical finding)	CUI=C2186981	PREF=resting tremor in left upper extremity (physical finding)
resting tremor in right lower extremity	CUI=C2186983	PREF=resting tremor in right lower extremity
resting tremor in right lower extremity (physical finding)	CUI=C2186983	PREF=resting tremor in right lower extremity (physical finding)
resting tremor in right upper extremity	CUI=C2186985	PREF=resting tremor in right upper extremity
resting tremor in right upper extremity (physical finding)	CUI=C2186985	PREF=resting tremor in right upper extremity (physical finding)
resting tremor in RLE	CUI=C2186983	PREF=resting tremor in RLE
resting tremor in RLE frequency (___ Hz)	CUI=C2186984	PREF=resting tremor in RLE frequency (___ Hz)
resting tremor in RUE	CUI=C2186985	PREF=resting tremor in RUE
resting tremor in RUE frequency (___ Hz)	CUI=C2186986	PREF=resting tremor in RUE frequency (___ Hz)
resting tremor of head	CUI=C2186987	PREF=resting tremor of head
right sided action tremor	CUI=C2196968	PREF=right sided action tremor
right sided action tremor (physical finding)	CUI=C2196968	PREF=right sided action tremor (physical finding)
Rotary head movements ('rolling,' 'tremor')	CUI=C1839442	PREF=Rotary head movements ('rolling,' 'tremor')
Rubral tremor	CUI=C0750940	PREF=Rubral tremor
Rubral tremor (finding)	CUI=C0750940	PREF=Rubral tremor (finding)
Static tremor	CUI=C0234378	PREF=Static tremor
Static tremor (finding)	CUI=C0234378	PREF=Static tremor (finding)
TONGUE TREMOR	CUI=C0241446	PREF=TONGUE TREMOR
Tongue tremor (in some patients)	CUI=C4227908	PREF=Tongue tremor (in some patients)
Toxic tremor	CUI=C0234382	PREF=Toxic tremor
Toxic tremor (finding)	CUI=C0234382	PREF=Toxic tremor (finding)
Toxic tremor, NOS	CUI=C0234382	PREF=Toxic tremor, NOS
Tremor	CUI=C0040822	PREF=Tremor
tremor (diagnosis)	CUI=C0040822	PREF=tremor (diagnosis)
Tremor (finding)	CUI=C0040822	PREF=Tremor (finding)
Tremor (in some patients)	CUI=C3805748	PREF=Tremor (in some patients)
Tremor (later-onset)	CUI=C1848568	PREF=Tremor (later-onset)
Tremor (less common)	CUI=C3276825	PREF=Tremor (less common)
tremor (physical finding)	CUI=C0040822	PREF=tremor (physical finding)
Tremor (rare)	CUI=C3149596	PREF=Tremor (rare)
Tremor [D]	CUI=C0040822	PREF=Tremor [D]
Tremor [D] (finding)	CUI=C0040822	PREF=Tremor [D] (finding)
Tremor [D] (situation)	CUI=C0040822	PREF=Tremor [D] (situation)
Tremor at rest	CUI=C0234379	PREF=Tremor at rest
TREMOR COARSE	CUI=C0234374	PREF=TREMOR COARSE
Tremor due to central nervous system disease	CUI=C4511436	PREF=Tremor due to central nervous system disease
Tremor due to central nervous system disease (finding)	CUI=C4511436	PREF=Tremor due to central nervous system disease (finding)
tremor frequency and amplitude recorded using accelerometer / gyroscope	CUI=C2921955	PREF=tremor frequency and amplitude recorded using accelerometer / gyroscope
tremor frequency and amplitude recorded using accelerometer / gyroscope (physical finding)	CUI=C2921955	PREF=tremor frequency and amplitude recorded using accelerometer / gyroscope (physical finding)
Tremor is aggravated by emotional stress	CUI=C1832843	PREF=Tremor is aggravated by emotional stress
Tremor is aggravated by low glucose or light	CUI=C3552826	PREF=Tremor is aggravated by low glucose or light
Tremor is exacerbated by stress and exercise	CUI=C1836386	PREF=Tremor is exacerbated by stress and exercise
Tremor is of moderate amplitude (1-2 cm) and usually present; it is clearly oscillatory	CUI=C3843180	PREF=Tremor is of moderate amplitude (1-2 cm) and usually present; it is clearly oscillatory
Tremor mainly affects the upper limbs	CUI=C4227910	PREF=Tremor mainly affects the upper limbs
Tremor may affect the lower limbs	CUI=C4227909	PREF=Tremor may affect the lower limbs
Tremor NOS	CUI=C0040822	PREF=Tremor NOS
Tremor of hands	CUI=C0239842	PREF=Tremor of hands
Tremor of limbs	CUI=C0235081	PREF=Tremor of limbs
Tremor of palate	CUI=C1827012	PREF=Tremor of palate
Tremor of palate (finding)	CUI=C1827012	PREF=Tremor of palate (finding)
Tremor of the upper limb	CUI=C3805996	PREF=Tremor of the upper limb
Tremor of the upper limbs (in some patients)	CUI=C4314417	PREF=Tremor of the upper limbs (in some patients)
tremor on left only	CUI=C2146162	PREF=tremor on left only
tremor on left only (physical finding)	CUI=C2146162	PREF=tremor on left only (physical finding)
tremor on right only	CUI=C2146163	PREF=tremor on right only
tremor on right only (physical finding)	CUI=C2146163	PREF=tremor on right only (physical finding)
Tremor opiophagorum	CUI=C0234383	PREF=Tremor opiophagorum
Tremor opiophagorum (finding)	CUI=C0234383	PREF=Tremor opiophagorum (finding)
tremor perioral (rabbit syndrome)	CUI=C2053448	PREF=tremor perioral (rabbit syndrome)
Tremor scale	CUI=C4034324	PREF=Tremor scale
Tremor symptom	CUI=C0040822	PREF=Tremor symptom
Tremor transducer (physical object)	CUI=C0491565	PREF=Tremor transducer (physical object)
Tremor, action	CUI=C0234376	PREF=Tremor, action
Tremor, action (arms, tongue, head, legs and trunk)	CUI=C1860862	PREF=Tremor, action (arms, tongue, head, legs and trunk)
Tremor, action, progressive	CUI=C2676259	PREF=Tremor, action, progressive
Tremor, fine	CUI=C0234373	PREF=Tremor, fine
Tremor, intention	CUI=C0234376	PREF=Tremor, intention
Tremor, mild	CUI=C3553819	PREF=Tremor, mild
Tremor, NOS	CUI=C0040822	PREF=Tremor, NOS
Tremor, postural	CUI=C0234378	PREF=Tremor, postural
Tremor, postural (arms, tongue, head, legs and trunk)	CUI=C1860863	PREF=Tremor, postural (arms, tongue, head, legs and trunk)
Tremor, postural, upper limb, onset in fourth decade (reported in 1 family)	CUI=C1838195	PREF=Tremor, postural, upper limb, onset in fourth decade (reported in 1 family)
Tremor, small-amplitude, high-frequency, restricted to the hands	CUI=C1836384	PREF=Tremor, small-amplitude, high-frequency, restricted to the hands
Tremor, unspecified	CUI=C0040822	PREF=Tremor, unspecified
Tremor, upper limbs	CUI=C3805996	PREF=Tremor, upper limbs
Tremor, variable	CUI=C3279628	PREF=Tremor, variable
Tremor,chorea,tics+ rel disord	CUI=C0355790	PREF=Tremor,chorea,tics+ rel disord
Tremors (in hands)	CUI=C0239842	PREF=Tremors (in hands)
tremors as symptom	CUI=C0040822	PREF=tremors as symptom
Upper extremity action tremor	CUI=C3148817	PREF=Upper extremity action tremor
Upper limb action tremor	CUI=C1867139	PREF=Upper limb action tremor
Upper limb postural tremor	CUI=C1867138	PREF=Upper limb postural tremor
Voice tremor	CUI=C0234808	PREF=Voice tremor
Voice tremor (finding)	CUI=C0234808	PREF=Voice tremor (finding)
Voice tremor group	CUI=C0234815	PREF=Voice tremor group
Voice tremor group (finding)	CUI=C0234815	PREF=Voice tremor group (finding)
Voice tremor, NOS	CUI=C0234808	PREF=Voice tremor, NOS
Volitional tremor	CUI=C0234376	PREF=Volitional tremor
wing beating tremor	CUI=C2203278	PREF=wing beating tremor
wing beating tremor (physical finding)	CUI=C2203278	PREF=wing beating tremor (physical finding)
wing beating tremor on left	CUI=C2196971	PREF=wing beating tremor on left
wing beating tremor on left (physical finding)	CUI=C2196971	PREF=wing beating tremor on left (physical finding)
wing beating tremor on right	CUI=C2196970	PREF=wing beating tremor on right
wing beating tremor on right (physical finding)	CUI=C2196970	PREF=wing beating tremor on right (physical finding)
