C1542154	(Swallowing symptoms) or (dysphagia)
C0011168	Poor swallowing
C0481706	Problem with swallowing or mastication
C0481706	Problems with swallowing
C4048182	refusal / inability to swallow (aphagia)
C0232605	Regurgitates after swallowing
C0232605	Regurgitates after swallowing (finding)
C2169930	regurgitating undigested food with rechewing & reswallowing
C2169930	regurgitation of undigested food followed by rechewing and reswallowing
C2169930	regurgitation of undigested food with rechewing and reswallowing
C2169930	regurgitation of undigested food with rechewing and reswallowing (symptom)
C2075099	residue in oral cavity upon swallowing
C1285901	Speed of swallowing
C1285901	Speed of swallowing (observable entity)
C2146161	strategies for treatment of swallowing dysfunction
C2146161	strategies for treatment of swallowing dysfunction (treatment)
C4035680	Structures Involved in Voice, Speech, Swallowing
C2146146	super-supraglottic maneuvers for treatment of swallowing dysfunction
C2146146	super-supraglottic maneuvers for treatment of swallowing dysfunction (treatment)
C0011167	Swallowing
C3665547	swallowing
C2598159	Swallowing
C4281783	Swallowing
C2749723	Swallowing and chewing difficulties
C2038587	swallowing and oral function results oral preparatory stage
C2038587	swallowing and oral function results oral preparatory stage (procedure)
C2038588	swallowing and oral function results oral transit stage
C2038588	swallowing and oral function results oral transit stage (procedure)
C2038589	swallowing and oral function results timing of bolus flow
C2038589	swallowing and oral function results timing of bolus flow (procedure)
C0412099	Swallowing assessment using fluoroscopic guidance
C0419106	Swallowing defect amelioration
C0419106	Swallowing defect amelioration (procedure)
C0011168	Swallowing difficulties
C0011168	Swallowing difficulties (dysphagia)
C3552400	Swallowing difficulties (in some patients)
C3554216	Swallowing difficulties (rare)
C2707308	Swallowing disorder
C0011168	Swallowing disorder
C2598269	Swallowing disorder [CARE]
C2707308	Swallowing disorder:-:Point in time:^Patient:-
C2707308	Swallowing disorder:-:Pt:^Patient:-
C2598269	Swallowing disorder:Find:Pt:^Patient:Ord:CARE
C2598269	Swallowing disorder:Finding:Point in time:^Patient:Ordinal:CARE
C2598271	Swallowing disorder.other specified
C2598270	Swallowing disorder.other specified [CARE]
C3278121	Swallowing disturbances
C2121152	Swallowing Dysfunction Treatment
C1285900	Swallowing feature
C1285900	Swallowing feature (observable entity)
C0432602	Swallowing finding
C0432602	Swallowing finding (finding)
C0234770	Swallowing function of larynx
C0234770	Swallowing function of larynx (function)
C0234770	Swallowing function of larynx (observable entity)
C0203068	Swallowing function of pharynx and esophagus with cineradiography and video recording
C0203068	Swallowing function of pharynx and oesophagus with cineradiography and video recording
C2038595	swallowing function pharyngeal stage transit time
C2038595	swallowing function pharyngeal stage transit time (procedure)
C4281783	Swallowing G-code
C0392678	SWALLOWING IMPAIRED
C0392678	Swallowing impairment
C0943861	Swallowing impairment [CCC]
C0943861	Swallowing impairment:Find:Pt:Gastrointestinal system:Ord:Observed.CCC
C0943861	Swallowing impairment:Finding:Point in time:Gastrointestinal system:Ordinal:Observed.CCC
C0426600	Swallowing normal
C0424377	Swallowing objects
C0424377	Swallowing objects (finding)
C0432602	Swallowing observation
C0221150	SWALLOWING PAINFUL
C0221150	Swallowing painful (finding)
C0426602	Swallowing pattern
C1287781	Swallowing pattern - finding
C1287781	Swallowing pattern - finding
C0426603	Swallowing pattern - tongue to lip contact
C0426603	Swallowing pattern - tongue to lip contact (finding)
C0426602	Swallowing pattern (observable entity)
C0392678	Swallowing problem
C0392678	Swallowing problem (finding)
C1716809	Swallowing problem [Minimum Data Set]
C1716809	Swallowing problem:Find:Pt:^Patient:Ord:MDS
C1716809	Swallowing problem:Finding:Point in time:^Patient:Ordinal:MDS
C0589274	Swallowing promotion therapy
C0589274	Swallowing promotion therapy (procedure)
C0589274	Swallowing promotion therapy (regime/therapy)
C0232524	Swallowing reflex
C0232524	Swallowing reflex (observable entity)
C0576509	Swallowing reflex absent
C0576509	Swallowing reflex absent (finding)
C0576510	Swallowing reflex equivocal
C0576510	Swallowing reflex equivocal (finding)
C1287725	Swallowing reflex finding
C1287725	Swallowing reflex finding (finding)
C0576508	Swallowing reflex present
C0576508	Swallowing reflex present (finding)
C4034333	Swallowing scale
C1321019	Swallowing status
C1321019	Swallowing status (observable entity)
C4482658	Swallowing status [CMS Assessment]
C1321104	Swallowing status: esophageal phase
C1321104	Swallowing status: esophageal phase (observable entity)
C1321104	Swallowing status: oesophageal phase
C1321020	Swallowing status: oral phase
C1321020	Swallowing status: oral phase (observable entity)
C1321021	Swallowing status: pharyngeal phase
C1321021	Swallowing status: pharyngeal phase (observable entity)
C4482658	Swallowing status:Find:Pt:^Patient:Ord:CMS Assessment
C4482658	Swallowing status:Finding:Point in time:^Patient:Ordinal:CMS Assessment
C0562702	Swallowing substances
C0562702	Swallowing substances (finding)
C0426601	Swallowing symptom
C0426601	Swallowing symptom NOS
C0426601	Swallowing symptom NOS (finding)
C0426601	Swallowing symptoms
C0426601	Swallowing symptoms (finding)
C0589274	Swallowing therapy
C2598047	Swallowing usual ability
C2598046	Swallowing usual ability [CARE]
C2115921	throat pain on swallowing
C2115921	throat pain on swallowing (symptom)
C0858978	Tongue swallowing
C0858978	Tongue swallowing (finding)
C0426609	Unable to initiate swallowing
C0426609	Unable to initiate swallowing (finding)
C0426609	Unable to initiate swallowing reflex
C0566345	Unable to project bolus of food into pharynx
C0566345	Unable to project bolus of food into pharynx (finding)
C4048182	Unable to swallow
C4048182	Unable to swallow (finding)
C0566365	Unable to swallow fluid
C0566365	Unable to swallow fluid (finding)
C0566365	Unable to swallow liquid
C0566376	Unable to swallow saliva
C0566376	Unable to swallow saliva (finding)
C0584632	Unable to swallow soft foods
C0584632	Unable to swallow soft foods (finding)
C0584627	Unable to swallow solids
C0584627	Unable to swallow solids (finding)
C0566370	Unable to swallow thickened fluid
C0566370	Unable to swallow thickened fluid (finding)
C1302160	Uncompensated swallowing impairment
C1302160	Uncompensated swallowing impairment (finding)
C1856512	Uncoordinated swallowing
C2129181	upper chest pain on swallowing
C2129181	upper chest pain on swallowing (symptom)
